,lambda,llhStat,llhReg,llhRegOverlambda,curvature
0,0.06309573444801933,31.028878449666447,0.1840424069334894,2.9168755787304534,8.495085615334247
1,0.06324118513762193,31.029046878693226,0.1843906592356212,2.9156736837609945,3.9569268453534034
2,0.0633869711256927,31.029220839347396,0.1847484671210759,2.9146126378988884,5.093104334339491
3,0.06353309318517436,31.02939027271258,0.1850951055618817,2.9133652445096785,0.36271860827254987
4,0.06367955209079158,31.029561476415502,0.1854458683628274,2.912172938943204,5.217838833673721
5,0.06382634861905485,31.029734425208936,0.1858007638456096,2.911035455820204,2.2655130812334123
6,0.06397348354826482,31.02990753698727,0.18615609202472794,2.9098945641170597,1.3705334413350136
7,0.06412095765851615,31.030076068269736,0.1865049148395275,2.90864206727513,5.029252085045097
8,0.06426877173170198,31.03025170539853,0.1868661297550947,2.9075727560998166,2.7060178716600483
9,0.06441692655151772,31.03042597910238,0.1872201870277997,2.906381863438789,5.914509032184223
10,0.06456542290346556,31.030599854815797,0.18758306954232404,2.9053177553376712,6.356681657173098
11,0.06471426157485831,31.03077054078201,0.18792727101165707,2.903954498411018,4.213796875978919
12,0.06486344335482384,31.030945037056508,0.18828636783268032,2.902811785718706,7.959242329059897
13,0.06501296903430906,31.0311221063718,0.18864643479598053,2.901673890580614,3.1665277532060165
14,0.06516283940608428,31.031297326118445,0.18900728460126304,2.9005378882187776,4.263196204881972
15,0.06531305526474723,31.031472570369637,0.189361545768009,2.899290884501265,0.8748471000165814
16,0.0654636174067275,31.03164890967132,0.1897200313262256,2.898098804218061,3.3939489185119593
17,0.06561452663029053,31.03182664661421,0.19008003817749625,2.8969200562630744,0.7528463125952928
18,0.06576578373554205,31.03200452223569,0.19044223992305853,2.895764774717299,0.40432448558857337
19,0.06591738952443213,31.032181540880014,0.19079893852204194,2.8945159979571513,0.6044361545093307
20,0.06606934480075961,31.032360373522717,0.19116588650655764,2.893412778392798,1.7726755809238792
21,0.06622165037017619,31.032537204083503,0.1915216031761635,2.8921297205002587,0.9031180082743216
22,0.0663743070401909,31.03271714314311,0.1918871011987569,2.890984625761375,1.7643188166548722
23,0.06652731562017412,31.03289511937156,0.19224336497321168,2.889690695935952,2.3872644935143645
24,0.06668067692136222,31.03307584477709,0.19261494712707763,2.8886171529756974,1.215566284756915
25,0.06683439175686146,31.03325446786662,0.19297318381078976,2.8873335828776874,2.6640952356824643
26,0.06698846094165266,31.033435727206463,0.19334183347395256,2.8861960814766956,2.0260115629061226
27,0.06714288529259523,31.033613655863032,0.19369842799575174,2.8848689947066295,2.4648677000204096
28,0.06729766562843179,31.033787855276522,0.19406904238534936,2.883741071448984,1.4111413148814937
29,0.0674528027697922,31.033968567392588,0.19443547014503845,2.882541008838756,2.1081025925516585
30,0.06760829753919818,31.034146539986985,0.19479242726902002,2.8811911312525296,5.697732875538153
31,0.0677641507610675,31.034330113607595,0.19516519291489448,2.8800655025256017,0.5090553603675269
32,0.06792036326171846,31.034511099504737,0.19553238353669306,2.8788477291154266,0.521885031560004
33,0.06807693586937413,31.034692741561678,0.19589576827220656,2.8775644169427794,3.1789379761040415
34,0.06823386941416697,31.034877008173623,0.1962728006018336,2.8764717916038736,2.1560693016844046
35,0.06839116472814293,31.03505850896338,0.19663579011621501,2.8751636398919156,0.3491481698792449
36,0.06854882264526617,31.03524331612007,0.19700992021393976,2.874008810238039,1.048219655905325
37,0.06870684400142321,31.03542669371412,0.19737836423672356,2.872761325387541,0.4799461965092569
38,0.06886522963442762,31.035608261167575,0.19774746080144617,2.871513851782566,3.100696402412062
39,0.06902398038402419,31.03579490058994,0.19812213834326284,2.8703377759582063,1.4664197816736015
40,0.06918309709189366,31.035978984389516,0.19849356348246988,2.869104908946434,0.14668786738070128
41,0.0693425806016569,31.036164219013866,0.19886410122930676,2.867849732499788,0.8216238136351102
42,0.0695024317588797,31.036351999033485,0.19924082854732877,2.8666742084441323,3.6572066847370155
43,0.06966265141107687,31.036534493555447,0.19960597653902928,2.865322701560143,0.15949226065612834
44,0.06982324040771715,31.03672152185161,0.1999809376342334,2.864102789651262,1.6295404469376207
45,0.06998419960022735,31.036906852725437,0.2003489188260737,2.8627735970480805,5.939509885947976
46,0.07014552984199714,31.037093752463914,0.20072758219280346,2.8615876541946794,5.551331817982778
47,0.07030723198838335,31.03728532165679,0.20111000341570062,2.860445472365196,6.382690102037785
48,0.07046930689671471,31.037472336669314,0.2014876682505832,2.859225911585865,3.4871392096449623
49,0.0706317554262962,31.03766407650633,0.20185742403377416,2.8578848538517656,0.03405161857398049
50,0.0707945784384138,31.037854246366383,0.20223759853478412,2.8566820086472626,2.405131556229721
51,0.07095777679633887,31.03804011456225,0.2026088515609979,2.8553438496603474,2.183053479890458
52,0.07112135136533292,31.038234473591388,0.2029986773132305,2.85425787637915,7.132353828355759
53,0.07128530301265194,31.03841954286092,0.2033674212470855,2.8528660558683634,1.9916382471139988
54,0.07144963260755134,31.038608462470354,0.20374422975095635,2.851578410067613,6.3756973882994785
55,0.0716143410212902,31.038796838644426,0.20412221914190248,2.850298085982793,3.959878003792985
56,0.07177942912713618,31.038990168193465,0.20450977916446503,2.8491419011181605,2.853992699748811
57,0.07194489780036994,31.039178512532846,0.2048888372915463,2.847857784996294,1.5309891244403155
58,0.07211074791828997,31.039371099137437,0.2052702869366087,2.846597669035471,1.395485905247813
59,0.07227698036021703,31.039562685091415,0.20565203158971984,2.84533236674779,0.043601400940941934
60,0.07244359600749903,31.039753790237874,0.20603700633122363,2.8441024146550595,1.0496232174060387
61,0.07261059574351547,31.039953712816118,0.20641452750417683,2.842760417960223,1.419680920153556
62,0.07277798045368242,31.040148958848633,0.20679701797016806,2.841477829984283,0.5708129733467664
63,0.07294575102545688,31.040340393202726,0.20717688718093624,2.840150170071385,1.8737238942295784
64,0.07311390834834176,31.040534952372337,0.2075661673663013,2.8389423032534267,1.8114817672050458
65,0.07328245331389041,31.040727571367476,0.20794764868900711,2.8376185469433706,0.6061411552807632
66,0.0734513868157115,31.04092209926831,0.20833168463809065,2.836320642397017,2.8907023105462906
67,0.07362070974947361,31.041115877190638,0.2087184040841471,2.835050148177082,0.9416534360679271
68,0.07379042301291011,31.041310827703345,0.20910870269793433,2.833818999267011,1.6413337252193805
69,0.07396052750582378,31.041506385733076,0.20949370303396972,2.8325068803420015,2.244567532015351
70,0.07413102413009177,31.041701167695102,0.2098823692947798,2.8312352588905205,0.6371427650672601
71,0.07430191378967013,31.041892601143292,0.2102662006077441,2.8298894319593755,2.7270253901794583
72,0.07447319739059892,31.042089641641038,0.21066194019205026,2.828694719352053,0.32159146389645604
73,0.07464487584100665,31.042290930662883,0.21104434785187298,2.8273119283016395,1.6728253397900483
